Date;Close/Last;Volume;Open;High;Low
18.11.2020;3567.79;--;3612.09;3619.09;3567.33
17.11.2020;3609.53;--;3610.31;3623.11;3588.68
16.11.2020;3626.91;--;3600.16;3628.51;3600.16
13.11.2020;3585.15;--;3552.57;3593.66;3552.57
12.11.2020;3537.01;--;3562.67;3569.02;3518.58
11.11.2020;3572.66;--;3563.22;3581.16;3557
10.11.2020;3545.53;--;3543.26;3557.22;3511.91
09.11.2020;3550.5;--;3583.04;3645.99;3547.48
06.11.2020;3509.44;--;3508.34;3521.58;3484.34
05.11.2020;3510.45;--;3485.74;3529.05;3485.74
04.11.2020;3443.44;--;3406.46;3486.25;3405.17
03.11.2020;3369.02;--;3336.25;3389.49;3336.25
02.11.2020;3310.24;--;3296.2;3330.14;3279.74
30.10.2020;3269.96;--;3293.59;3304.93;3233.94
29.10.2020;3310.11;--;3277.17;3341.05;3259.82
28.10.2020;3271.03;--;3342.48;3342.48;3268.89
27.10.2020;3390.68;--;3403.15;3409.51;3388.71
26.10.2020;3400.97;--;3441.42;3441.42;3364.86
23.10.2020;3465.39;--;3464.9;3466.46;3440.45
22.10.2020;3453.49;--;3438.5;3460.53;3415.34
21.10.2020;3435.56;--;3439.91;3464.86;3433.06
20.10.2020;3443.12;--;3439.38;3476.93;3435.65
19.10.2020;3426.92;--;3493.66;3502.42;3419.93
16.10.2020;3483.81;--;3493.5;3515.76;3480.45
15.10.2020;3483.34;--;3453.72;3489.08;3440.89
14.10.2020;3488.67;--;3515.47;3527.94;3480.55
13.10.2020;3511.93;--;3534.01;3534.01;3500.86
12.10.2020;3534.22;--;3500.02;3549.85;3499.61
09.10.2020;3477.13;--;3459.67;3482.34;3458.07
08.10.2020;3446.83;--;3434.28;3447.28;3428.15
07.10.2020;3419.45;--;3384.56;3426.26;3384.56
06.10.2020;3360.95;--;3408.74;3431.56;3354.54
05.10.2020;3408.63;--;3367.27;3409.57;3367.27
02.10.2020;3348.44;--;3338.94;3369.1;3323.69
01.10.2020;3380.8;--;3385.87;3397.18;3361.39
30.09.2020;3363;--;3341.21;3393.56;3340.47
29.09.2020;3335.47;--;3350.92;3357.92;3327.54
28.09.2020;3351.6;--;3333.9;3360.74;3332.91
25.09.2020;3298.46;--;3236.66;3306.88;3228.44
24.09.2020;3246.59;--;3226.14;3278.7;3209.45
23.09.2020;3236.92;--;3320.11;3323.35;3232.57
22.09.2020;3315.57;--;3295.75;3320.31;3270.95
21.09.2020;3281.06;--;3285.57;3285.57;3229.1
18.09.2020;3319.47;--;3357.38;3362.27;3292.4
17.09.2020;3357.01;--;3346.86;3375.17;3328.82
16.09.2020;3385.49;--;3411.23;3428.92;3384.45
15.09.2020;3401.2;--;3407.73;3419.48;3389.25
14.09.2020;3383.54;--;3363.56;3402.93;3363.56
11.09.2020;3340.97;--;3352.7;3368.95;3310.47
10.09.2020;3339.19;--;3412.56;3425.55;3329.25
09.09.2020;3398.96;--;3369.82;3424.77;3366.84
08.09.2020;3331.84;--;3371.88;3379.97;3329.27
04.09.2020;3426.96;--;3453.6;3479.15;3349.63
03.09.2020;3455.06;--;3564.74;3564.85;3427.41
02.09.2020;3580.84;--;3543.76;3588.11;3535.23
01.09.2020;3526.65;--;3507.44;3528.03;3494.6
31.08.2020;3500.31;--;3509.73;3514.77;3493.25
28.08.2020;3508.01;--;3494.69;3509.23;3484.32
27.08.2020;3484.55;--;3485.14;3501.38;3468.35
26.08.2020;3478.73;--;3449.97;3481.07;3444.15
25.08.2020;3443.62;--;3435.95;3444.21;3425.84
24.08.2020;3431.28;--;3418.09;3432.09;3413.13
21.08.2020;3397.16;--;3386.01;3399.96;3379.31
20.08.2020;3385.51;--;3360.48;3390.8;3354.69
19.08.2020;3374.85;--;3392.51;3399.54;3369.66
18.08.2020;3389.78;--;3387.04;3395.06;3370.15
17.08.2020;3381.99;--;3380.86;3387.59;3379.22
14.08.2020;3372.85;--;3368.66;3378.51;3361.64
13.08.2020;3373.43;--;3372.95;3387.24;3363.35
12.08.2020;3380.35;--;3355.46;3387.89;3355.46
11.08.2020;3333.69;--;3370.34;3381.01;3326.44
10.08.2020;3360.47;--;3356.04;3363.29;3335.44
07.08.2020;3351.28;--;3340.05;3352.54;3328.72
06.08.2020;3349.16;--;3323.17;3351.03;3318.14
05.08.2020;3327.77;--;3317.37;3330.77;3317.37
04.08.2020;3306.51;--;3296.6;3306.84;3286.37
03.08.2020;3294.61;--;3288.26;3302.73;3284.53
31.07.2020;3271.12;--;3270.45;3272.17;3220.26
30.07.2020;3246.22;--;3231.76;3250.92;3204.13
29.07.2020;3258.44;--;3227.22;3264.74;3227.22
28.07.2020;3218.44;--;3234.27;3243.72;3216.17
27.07.2020;3239.41;--;3219.84;3241.43;3214.25
24.07.2020;3215.63;--;3218.58;3227.26;3200.05
23.07.2020;3235.66;--;3271.64;3279.99;3222.66
22.07.2020;3276.02;--;3254.86;3279.32;3253.1
21.07.2020;3257.3;--;3268.52;3277.29;3247.77
20.07.2020;3251.84;--;3224.29;3258.61;3215.16
17.07.2020;3224.73;--;3224.21;3233.52;3205.65
16.07.2020;3215.57;--;3208.36;3220.39;3198.59
15.07.2020;3226.56;--;3225.98;3238.28;3200.76
14.07.2020;3197.52;--;3141.11;3200.95;3127.66
13.07.2020;3155.22;--;3205.08;3235.32;3149.43
10.07.2020;3185.04;--;3152.47;3186.82;3136.22
09.07.2020;3152.05;--;3176.17;3179.78;3115.7
08.07.2020;3169.94;--;3153.07;3171.8;3136.53
07.07.2020;3145.32;--;3166.44;3184.15;3142.93
06.07.2020;3179.72;--;3155.29;3182.59;3155.29
02.07.2020;3130.01;--;3143.64;3165.81;3124.52
01.07.2020;3115.86;--;3105.92;3128.44;3101.17
30.06.2020;3100.29;--;3050.2;3111.51;3047.83
29.06.2020;3053.24;--;3018.59;3053.89;2999.74
26.06.2020;3009.05;--;3073.2;3073.73;3004.63
25.06.2020;3083.76;--;3046.6;3086.25;3024.01
24.06.2020;3050.33;--;3114.4;3115.01;3032.13
23.06.2020;3131.29;--;3138.7;3154.9;3127.12
22.06.2020;3117.86;--;3094.42;3120.92;3079.39
19.06.2020;3097.74;--;3140.29;3155.53;3083.11
18.06.2020;3115.34;--;3101.64;3120;3093.51
17.06.2020;3113.49;--;3136.13;3141.16;3108.03
16.06.2020;3124.74;--;3131;3153.45;3076.06
15.06.2020;3066.59;--;2993.76;3079.76;2965.66
12.06.2020;3041.31;--;3071.04;3088.42;2984.47
11.06.2020;3002.1;--;3123.53;3123.53;2999.49
10.06.2020;3190.14;--;3213.42;3223.27;3181.49
09.06.2020;3207.18;--;3213.32;3222.71;3193.11
08.06.2020;3232.39;--;3199.92;3233.13;3196
05.06.2020;3193.93;--;3163.84;3211.72;3163.84
04.06.2020;3112.35;--;3111.56;3128.91;3090.41
03.06.2020;3122.87;--;3098.9;3130.94;3098.9
02.06.2020;3080.82;--;3064.78;3081.07;3051.64
01.06.2020;3055.73;--;3038.78;3062.18;3031.54
29.05.2020;3044.31;--;3025.17;3049.17;2998.61
28.05.2020;3029.73;--;3046.61;3068.67;3023.4
27.05.2020;3036.13;--;3015.65;3036.25;2969.75
26.05.2020;2991.77;--;3004.08;3021.72;2988.17
22.05.2020;2955.45;--;2948.05;2956.76;2933.59
21.05.2020;2948.51;--;2969.95;2978.5;2938.57
20.05.2020;2971.61;--;2953.63;2980.29;2953.63
19.05.2020;2922.94;--;2948.59;2964.21;2922.35
18.05.2020;2953.91;--;2913.86;2968.09;2913.86
15.05.2020;2863.7;--;2829.95;2865.01;2816.78
14.05.2020;2852.5;--;2794.54;2852.8;2766.64
13.05.2020;2820;--;2865.86;2874.14;2793.15
12.05.2020;2870.12;--;2939.5;2945.82;2869.59
11.05.2020;2930.32;--;2915.46;2944.25;2903.44
08.05.2020;2929.8;--;2908.83;2932.16;2902.88
07.05.2020;2881.19;--;2878.26;2901.92;2876.48
06.05.2020;2848.42;--;2883.14;2891.11;2847.65
05.05.2020;2868.44;--;2868.88;2898.23;2863.55
